level,word,pinyin,english
7-9,倡议,chàngyì,to suggest; to initiate; proposal; initiative
7-9,超标,chāobiāo,to cross the limit; to be over the accepted norm; excessive
7-9,钞票,chāopiào,paper money; a bill (e.g. 100 yuan)
7-9,抄袭,chāoxí,to plagiarize; to copy; to attack the flank or rear of an enemy
7-9,潮,cháo,tide; damp; moist; humid; fashionable; trendy; (coll.) inferior; substandard
7-9,嘲弄,cháonòng,to mock; to ridicule
7-9,潮水,cháoshuǐ,tidewater; tide
7-9,巢穴,cháoxué,nest; den; hideout
7-9,炒作,chǎozuò,to hype; to promote (in the media)
7-9,车间,chējiān,workshop
7-9,撤,chè,to remove; to take away
7-9,撤离,chèlí,to withdraw from; to evacuate
7-9,撤退,chètuì,to retreat
7-9,彻夜,chèyè,the whole night
7-9,沉淀,chéndiàn,to settle; to precipitate; sedimentation
7-9,沉浸,chénjìn,to soak; to permeate; to immerse
7-9,陈旧,chénjiù,old-fashioned
7-9,陈列,chénliè,to display; to exhibit
7-9,沉闷,chénmèn,oppressive (of weather); heavy; depressed; not happy; (of sound) dull; muffled
7-9,沉迷,chénmí,to be engrossed; to be absorbed with; to lose oneself in; to be addicted to
7-9,陈述,chénshù,to state; to expound
7-9,沉睡,chénshuì,deep sleep
7-9,沉稳,chénwěn,steady; calm; unflustered
7-9,沉着,chénzhuó,steady; calm and collected; not nervous
7-9,趁机,chènjī,to seize an opportunity; to take advantage of situation
7-9,衬托,chèntuō,to set off; to act as a foil to
7-9,承包,chéngbāo,to contract; to undertake (a job)
7-9,成才,chéngcái,to make sth of oneself; to become a person who is worthy of respect
7-9,成家,chéngjiā,to settle down and get married (of a man); to become a recognized expert
7-9,承接,chéngjiē,to accept; to take over (a contract, etc.)
7-9,诚恳,chéngkěn,sincere; honest; cordial
7-9,成年,chéngnián,to grow to adulthood; fully grown; adult; the whole year
7-9,成品,chéngpǐn,finished goods; a finished product
7-9,城墙,chéngqiáng,city wall
7-9,澄清,chéngqīng,clear (of liquid); limpid; to clarify; to make sth clear; to be clear (about the facts)
7-9,成天,chéngtiān,(coll.) all day long; all the time
7-9,成心,chéngxīn,deliberately; intentionally; on purpose
7-9,成型,chéngxíng,to become shaped; to become formed
7-9,诚意,chéngyì,sincerity; good faith
7-9,承载,chéngzài,to bear the weight; to sustain
7-9,诚挚,chéngzhì,sincere; cordial
7-9,秤,chèng,steelyard; Roman balance
7-9,痴呆,chīdāi,imbecility; dementia
7-9,吃苦,chīkǔ,to bear hardships
7-9,吃亏,chīkuī,to suffer losses; to come to grief; to lose out; to get the worst of it; to be at a disadvantage; unfortunately
